"","gene","ctrl_ccl34b.1_neg_1","ctrl_ccl34b.1_neg_2","ctrl_ccl34b.1_pos_1","ctrl_ccl34b.1_pos_2","ecoli_ccl34b.1_neg_1","ecoli_ccl34b.1_neg_2","ecoli_ccl34b.1_neg_3","ecoli_ccl34b.1_pos_1","ecoli_ccl34b.1_pos_2","ecoli_ccl34b.1_pos_3","pbs_ccl34b.1_neg_1","pbs_ccl34b.1_neg_2","pbs_ccl34b.1_neg_3","pbs_ccl34b.1_neg_4","pbs_ccl34b.1_pos_1","pbs_ccl34b.1_pos_2","pbs_ccl34b.1_pos_3","pbs_ccl34b.1_pos_4"
"2864","ENSDARG00000051785",26.7864455185563,1.62668046200646,18.3249815476823,12.4454308830378,14.1231295324155,0,0,0.738438265669355,87.5164474185174,0,1.21788050974075,0,0,0,130.153090289417,10.7497786503736,89.2872862319307,46.6756098548631
"2865","ENSDARG00000110675",0,1.62668046200646,2.4433308730243,1.13140280754889,0,0,0.269969654433975,0.738438265669355,0,0,0,0,0,0,0,0,18.4397656348553,0
"2866","ENSDARG00000094300",57.1444171062535,39.040331088155,23.2116432937309,5.65701403774447,0,71.173454138296,0,0,1.57687292645977,0,74.2907110941857,71.260467439625,17.5254829991001,0,39.9682718211596,0,47.5551850583109,0
"2867","ENSDARG00000043644",35.7152606914084,0,34.2066322223403,44.1247094944069,311.350810146433,2.13520362414888,0.269969654433975,76.0591413639436,0.788436463229886,0,0,0,37.3876970647469,138.167981058691,149.6248124587,55.7033984610271,0.970513980781855,1.0854792989503
"2868","ENSDARG00000063126",19.6433933802746,29.2802483161162,0,0,20.5427338653317,16.3698944518081,76.131442550381,0,0.788436463229886,0,141.274139129927,8.90755842995312,175.254829991001,0,0,0,0,0
"2869","ENSDARG00000043589",0,0,0,0,0,0,0.53993930886795,0,0,0,0,0,0,0.365523759414526,0,3.90901041831769,0,0
"2870","ENSDARG00000089856",0,56.933816170226,29.3199704762916,9.05122246039116,0,0,0,19.1993949074032,0,0,0,0,0,10.9657127824358,0,0,15.5282236925097,0
"2871","ENSDARG00000106425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2872","ENSDARG00000102078",16.0718673111338,0,4.88666174604861,13.5768336905867,0,0.71173454138296,0.269969654433975,14.7687653133871,9.46123755875864,0,45.0615788604077,52.4556218652795,28.0407727985602,23.3935206025297,5.12413741296918,0,0,43.4191719580122
"2873","ENSDARG00000104043",25.0006824839859,63.4405380182519,510.656152462079,442.378497751618,1.92588129987485,12.8112217448933,3.77957516207565,443.062959401613,343.758297968231,300.415614232502,35.3185347824817,3.95891485775694,31.5458693983802,21.565901805457,342.292379186342,182.746237056352,156.252750905879,293.079410716582
"2874","ENSDARG00000112165",0,0,32.9849667858281,6.78841684529337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2875","ENSDARG00000103846",3214.37346222676,5756.82215504086,46299.898378374,44125.8408972144,4800.5801201547,6780.69497575545,4880.24144320297,11908.055472184,21853.881887806,20628.7623674876,2327.36965411457,5800.79999532836,4099.79465625615,7247.60510167122,35337.5888410594,51648.777404627,23824.177200233,57543.4285959535
"2876","ENSDARG00000117770",0,0,0,0,0,0,0,0,17.3456021910575,0,0,0,0,12.0622840606794,0,0,0,0
"2877","ENSDARG00000018351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2878","ENSDARG00000104686",0,0,0,0,0,0,0,0,0,1.34114113496653,0,0,0,0,0,0,0,0
"2879","ENSDARG00000113969",39.2867867605493,40.6670115501614,46.4232865874618,9.05122246039116,15.4070503989988,44.1275415657435,4.85945377981155,83.4435240206371,46.5177513305633,20.1171170244979,10.9609245876667,37.609691148691,23.3673106654668,12.0622840606794,36.8937893733781,26.3858203236444,17.4692516540734,4.34191719580122
"2880","ENSDARG00000082167",50.0013649679718,13.0134436960517,0,0,0,16.3698944518081,4.04954481650963,28.0606540954355,9.46123755875864,0,0,3.95891485775694,46.7346213309336,67.6218954916873,13.3227572737199,6.84076823205596,0,6.51287579370182
"2881","ENSDARG00000117282",0,0,0,0,0,0,0,0,0,0,0,0.989728714439236,0,0,0,0,0,0
"2882","ENSDARG00000067626",0,0,12.2166543651215,0,0,0,228.934266960011,0,0,0,0,40.5788772920087,0,0.731047518829052,0,0,0,1.0854792989503
"2883","ENSDARG00000041065",19.6433933802746,68.3205794042712,2.4433308730243,56.5701403774447,143.799137057322,27.0459125725525,0,82.7050857549678,0,0.670570567483263,0,4.94864357219618,0,13.5243790983375,0,27.3630729282238,25.2333635003282,52.1030063496146
"2884","ENSDARG00000096920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2885","ENSDARG00000117668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2886","ENSDARG00000089107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2887","ENSDARG00000063021",0,0,18.3249815476823,9.05122246039116,0.641960433291615,73.3086577624448,123.376132076327,51.6906785968549,33.1143314556552,13.4114113496653,0,0,73.6070285962205,1.09657127824358,48.1668916819103,6.84076823205596,76.6706044817666,0
"2888","ENSDARG00000039887",117.860360281648,81.3340231003229,46.4232865874618,125.585711637927,421.1260442393,325.974419953395,366.618790721338,191.993949074032,285.413999689219,175.018918113132,70.6370695649635,174.192253741305,255.872051786862,95.4017012071913,279.265489006821,318.584349092892,84.4347163280214,180.18956362575
"2889","ENSDARG00000023950",0,0,0,21.496653343429,0,0,0,0,0,0,0,0,0,0,17.9344809453921,0,29.1154194234557,42.3336926590619
"2890","ENSDARG00000073761",0,0,0,0,0,0,0,0,0.788436463229886,0,0,0,0,0,0,78.1802083663538,2.91154194234557,3.25643789685091
